DIJ_h_max,DIJ_time,EUC_h_max,EUC_time,Error,Grid,Grid_Size,HE_h_max,HE_time,H_Max,H_Max_Euclidean,H_Max_HEIBG,Iterations,Path_Len,Peak_RAM_MB,Phase,Seed,Solver,Speedup_Dijkstra_vs_HE,Speedup_Euclidean_vs_HE,Speedup_Euclidean_vs_HEIBG,Success,Success_Euclidean,Success_HEIBG,Time_Euclidean,Time_HEIBG,Time_Sec,Type,h_star
0.16189967032835423,0.13289539999095723,0.16189967032835423,1.095086799992714,,,256,0.1852448203501117,0.049306900007650256,,,,,,,,,,2.6952698297872657,22.20960554857038,,,,,,,,,0.16189967032835423
0.16055474856556476,0.46456120000220835,0.16055474856556476,4.444525200000498,,,512,0.17299091561188934,0.12450560001889244,,,,,,,,,,3.7312474292860403,35.697391919127234,,,,,,,,,0.16055474856556476
,,,,,,256,,,,0.6043184144336136,0.6464617496367056,,,,,,,,,20.992115437196613,,True,True,2.2263250999967568,0.1060552999842912,,,
,,,,,128,,,,0.5645324788131991,,,65536,150,1.4624919891357422,,1,HE-IBG,,,,True,,,,,0.0774731999845244,Terrain,
,,,,,128,,,,0.5149260337407564,,,65536,201,1.4824247360229492,,2,HE-IBG,,,,True,,,,,0.07510739998542704,Terrain,
,,,,,128,,,,0.5237874585004858,,,65536,186,1.4700088500976562,,0,HE-IBG,,,,True,,,,,0.10279340000124648,Terrain,
,,,,,128,,,,0.49465285275150583,,,65536,207,1.4746122360229492,,3,HE-IBG,,,,True,,,,,0.0673403000109829,Terrain,
,,,,,128,,,,0.424104452279596,,,65536,186,1.3453426361083984,,4,HE-IBG,,,,True,,,,,0.03411720000440255,Terrain,
,,,,,128,,,,0.5645324788131991,,,65536,177,2.464808464050293,,1,Euclidean,,,,True,,,,,5.501753699994879,Terrain,
,,,,,128,,,,0.44463488402332996,,,65536,161,2.47249698638916,,3,Euclidean,,,,True,,,,,5.486596599977929,Terrain,
,,,,,128,,,,0.6032724664371878,,,65536,286,1.528594970703125,,0,HE-IBG,,,,True,,,,,0.03863990001264028,Mining,
,,,,,128,,,,0.5237874585004858,,,65536,228,2.474228858947754,,0,Euclidean,,,,True,,,,,5.556378100009169,Terrain,
